,Case.Number,Date.Time.Reported,Earliest.Occurrence,Latest.Occurrence,General.Location,Disposition,Classification,longitude,latitude,Category
662,12-009698,9/3/2012 1:34,9/3/2012 1:34,9/3/2012 1:34,Knapp Street and Lynn Avenue,Arrest,liquor law violation,-93.6463784,42.019148,Alcohol Related
663,12-009699,9/3/2012 1:44,9/3/2012 1:44,9/3/2012 1:44,Hayward Avenue and Little Street,Arrest,public intoxication,-93.6517124,42.0176158,Alcohol Related
664,12-009700,9/3/2012 3:24,9/3/2012 3:24,9/3/2012 3:24,Hayward Avenue and Little Street,Arrest,drug violation,-93.6517124,42.0176158,Drug Related
665,12-009712,9/6/2012 0:40,9/6/2012 0:40,9/6/2012 0:40,Arbor Street and South Sheldon Avenue,Arrest,public intoxication,-93.6542412,42.0209168,Alcohol Related
666,12-009719,9/7/2012 0:31,9/7/2012 0:31,9/7/2012 0:31,100 block of Welch Avenue,Arrest,public intoxication,-93.6501392,42.02272,Alcohol Related
667,12-009719,9/7/2012 0:31,9/7/2012 0:31,9/7/2012 0:31,100 block of Welch Avenue,Arrest,interference,-93.6501392,42.02272,Miscellaneous
668,12-009719,9/7/2012 0:31,9/7/2012 0:31,9/7/2012 0:31,100 block of Welch Avenue,Arrest,assault,-93.6501392,42.02272,Violence Related
669,12-009720,9/7/2012 1:22,9/7/2012 1:22,9/7/2012 1:22,200 block of Welch Avenue,Arrest,liquor law violation,-93.6501941,42.0214439,Alcohol Related
670,12-009721,9/7/2012 2:02,9/7/2012 2:02,9/7/2012 2:02,2500 block of Chamberlain Street,Arrest,public intoxication,-93.6500819,42.0214429,Alcohol Related
671,12-009722,9/7/2012 2:19,9/7/2012 2:19,9/7/2012 2:19,Chamberlain Street and Welch Avenue,Arrest,public intoxication,-93.6501941,42.0214439,Alcohol Related
672,12-009727,9/7/2012 22:30,9/7/2012 22:30,9/7/2012 22:30,Maple Hall,Arrest,liquor law violation,-93.6387491,42.023654,Alcohol Related
673,12-009730,9/8/2012 21:14,9/8/2012 21:14,9/8/2012 21:14,Hayward Avenue and Little Street,Arrest,liquor law violation,-93.6517124,42.0176158,Alcohol Related
674,12-009732,9/9/2012 1:44,9/9/2012 1:44,9/9/2012 1:44,Knapp Street and Stanton Avenue,Arrest,public intoxication,-93.6485073,42.0191298,Alcohol Related
675,12-009733,9/9/2012 3:38,9/9/2012 3:38,9/9/2012 3:38,Sheldon Avenue and Union Drive,Arrest,public intoxication,-93.6543018,42.0253597,Alcohol Related
676,12-009746,9/12/2012 19:03,9/12/2012 19:03,9/12/2012 19:03,Haber Road and University Boulevard,Arrest,driving under suspension,-93.6387948,42.0299502,Vehicle Related
677,12-009749,9/12/2012 22:52,9/12/2012 22:52,9/12/2012 22:52,Willow Hall,Arrest,drug violation,-93.6377325,42.0239136,Drug Related
678,12-009749,9/12/2012 22:52,9/12/2012 22:52,9/12/2012 22:52,Willow Hall,Arrest,liquor law violation,-93.6377325,42.0239136,Alcohol Related
679,12-009755,9/14/2012 0:27,9/14/2012 0:27,9/14/2012 0:27,4700 block of Steinbeck Street,Arrest,liquor law violation,-93.6829214,42.0147373,Alcohol Related
680,12-009756,9/14/2012 1:56,9/14/2012 1:56,9/14/2012 1:56,Mayfield Drive and Seagrave Boulevard,Arrest,operating while intoxicated,-93.6715029,42.0112358,Alcohol Related
681,12-009757,9/14/2012 2:01,9/14/2012 2:01,9/14/2012 2:01,South Dakota Avenue and Steinbeck Street,Arrest,liquor law violation,-93.6786731,42.0145902,Alcohol Related
682,12-009765,9/14/2012 21:41,9/14/2012 21:41,9/14/2012 21:41,Lincoln Way and State Avenue,Arrest,liquor law violation,-93.6591203,42.0227266,Alcohol Related
683,12-009766,9/15/2012 0:05,9/15/2012 0:05,9/15/2012 0:05,Campus Avenue and Lincoln Way,Arrest,public intoxication,-93.6570426,42.0227269,Alcohol Related
684,12-009766,9/15/2012 0:05,9/15/2012 0:05,9/15/2012 0:05,Campus Avenue and Lincoln Way,Arrest,interference,-93.6570426,42.0227269,Miscellaneous
685,12-009767,9/15/2012 1:00,9/15/2012 1:00,9/15/2012 1:00,Ash Avenue and Knapp Street,Arrest,liquor law violation,-93.6443655,42.019142,Alcohol Related
686,12-009768,9/15/2012 1:37,9/15/2012 1:37,9/15/2012 1:37,Ash Avenue and Knapp Street,Arrest,operating while intoxicated,-93.6443655,42.019142,Alcohol Related
687,12-009769,9/15/2012 2:23,9/15/2012 2:23,9/15/2012 2:23,100 block of Hyland Avenue,Arrest,public intoxication,-93.6555855,42.0226467,Alcohol Related
688,12-009774,9/15/2012 15:07,9/15/2012 15:07,9/15/2012 15:07,Lot G3,Arrest,liquor law violation,-93.6227301,42.0493019,Alcohol Related
689,12-009775,9/15/2012 15:40,9/15/2012 15:40,9/15/2012 15:40,Lot G3,Arrest,liquor law violation,-93.6227301,42.0493019,Alcohol Related
690,12-009776,9/15/2012 15:45,9/15/2012 15:45,9/15/2012 15:45,Lot A2,Arrest,liquor law violation,-93.6377863,42.0186104,Alcohol Related
691,12-009777,9/15/2012 15:52,9/15/2012 15:52,9/15/2012 15:52,Lot S4,Arrest,liquor law violation,-93.6348588,42.0120423,Alcohol Related
692,12-009779,9/15/2012 16:01,9/15/2012 16:01,9/15/2012 16:01,Lot B4,Arrest,liquor law violation,-93.6366017,42.0186242,Alcohol Related
693,12-009781,9/15/2012 16:09,9/15/2012 16:09,9/15/2012 16:09,Lot G3,Arrest,liquor law violation,-93.6227301,42.0493019,Alcohol Related
694,12-009780,9/15/2012 16:13,9/15/2012 16:13,9/15/2012 16:13,Lot C5,Arrest,liquor law violation,-93.634768,42.0177172,Alcohol Related
695,12-009783,9/15/2012 16:23,9/15/2012 16:23,9/15/2012 16:23,Lot D3,Arrest,liquor law violation,-93.6332267,42.0177403,Alcohol Related
696,12-009782,9/15/2012 16:24,9/15/2012 16:24,9/15/2012 16:24,Lot G3,Arrest,liquor law violation,-93.6227301,42.0493019,Alcohol Related
697,12-009784,9/15/2012 16:26,9/15/2012 16:26,9/15/2012 16:26,Lot G4,Arrest,liquor law violation,-93.6286452,42.0096516,Alcohol Related
698,12-009785,9/15/2012 16:37,9/15/2012 16:37,9/15/2012 16:37,Lot G4,Arrest,liquor law violation,-93.6286452,42.0096516,Alcohol Related
699,12-009786,9/15/2012 16:48,9/15/2012 16:48,9/15/2012 16:48,Lot C6,Arrest,liquor law violation,-93.6347647,42.0167821,Alcohol Related
700,12-009788,9/15/2012 16:54,9/15/2012 16:54,9/15/2012 16:54,Lot G3,Arrest,liquor law violation,-93.6227301,42.0493019,Alcohol Related
701,12-009789,9/15/2012 17:00,9/15/2012 17:00,9/15/2012 17:00,Lot C6,Arrest,liquor law violation,-93.6347647,42.0167821,Alcohol Related
702,12-009790,9/15/2012 17:06,9/15/2012 17:06,9/15/2012 17:06,Lot C5,Arrest,liquor law violation,-93.634768,42.0177172,Alcohol Related
703,12-009791,9/15/2012 17:09,9/15/2012 17:09,9/15/2012 17:09,Lot G2,Arrest,liquor law violation,-93.6363807,42.010106,Alcohol Related
704,12-009792,9/15/2012 17:10,9/15/2012 17:10,9/15/2012 17:10,Lot C6,Arrest,liquor law violation,-93.6347647,42.0167821,Alcohol Related
705,12-009795,9/15/2012 17:26,9/15/2012 17:26,9/15/2012 17:26,Lot S8,Arrest,liquor law violation,-93.6334165,42.0148466,Alcohol Related
706,12-009793,9/15/2012 17:27,9/15/2012 17:27,9/15/2012 17:27,Lot C5,Arrest,liquor law violation,-93.634768,42.0177172,Alcohol Related
707,12-009794,9/15/2012 17:30,9/15/2012 17:30,9/15/2012 17:30,Lot D3,Arrest,liquor law violation,-93.6332267,42.0177403,Alcohol Related
708,12-009796,9/15/2012 17:37,9/15/2012 17:37,9/15/2012 17:37,Lot C6,Arrest,liquor law violation,-93.6347647,42.0167821,Alcohol Related
709,12-009797,9/15/2012 17:43,9/15/2012 17:43,9/15/2012 17:43,Lot C6,Arrest,liquor law violation,-93.6347647,42.0167821,Alcohol Related
710,12-009798,9/15/2012 17:55,9/15/2012 17:55,9/15/2012 17:55,Lot C6,Arrest,liquor law violation,-93.6347647,42.0167821,Alcohol Related
711,12-009799,9/15/2012 17:58,9/15/2012 17:58,9/15/2012 17:58,Lot B3,Arrest,liquor law violation,-93.6365568,42.0192735,Alcohol Related
712,12-009800,9/15/2012 18:01,9/15/2012 18:01,9/15/2012 18:01,Lot G3,Arrest,liquor law violation,-93.6227301,42.0493019,Alcohol Related
713,12-009803,9/15/2012 18:09,9/15/2012 18:09,9/15/2012 18:09,Lot C5,Arrest,liquor law violation,-93.634768,42.0177172,Alcohol Related
714,12-009801,9/15/2012 18:12,9/15/2012 18:12,9/15/2012 18:12,Lot 85W,Arrest,liquor law violation,-93.6365824,42.0157193,Alcohol Related
715,12-009802,9/15/2012 18:17,9/15/2012 18:17,9/15/2012 18:17,Lot G3,Arrest,liquor law violation,-93.6227301,42.0493019,Alcohol Related
716,12-009804,9/15/2012 18:24,9/15/2012 18:24,9/15/2012 18:24,Lot G3,Arrest,liquor law violation,-93.6227301,42.0493019,Alcohol Related
717,12-009805,9/15/2012 18:36,9/15/2012 18:36,9/15/2012 18:36,Lot G3,Arrest,liquor law violation,-93.6227301,42.0493019,Alcohol Related
718,12-009806,9/15/2012 19:03,9/15/2012 19:03,9/15/2012 19:03,Lot G3,Arrest,public intoxication,-93.6227301,42.0493019,Alcohol Related
719,12-009807,9/15/2012 19:11,9/15/2012 19:11,9/15/2012 19:11,Lot G3,Arrest,public intoxication,-93.6227301,42.0493019,Alcohol Related
720,12-009809,9/15/2012 19:19,9/15/2012 19:19,9/15/2012 19:19,100 block of Beach Avenue,Arrest,public intoxication,-93.639494,42.0226543,Alcohol Related
721,12-009808,9/15/2012 19:38,9/15/2012 19:38,9/15/2012 19:38,Lot G2,Arrest,liquor law violation,-93.6363807,42.010106,Alcohol Related
722,12-009810,9/15/2012 19:45,9/15/2012 19:45,9/15/2012 19:45,Lot G2,Arrest,public intoxication,-93.6363807,42.010106,Alcohol Related
723,12-009810,9/15/2012 19:45,9/15/2012 19:45,9/15/2012 19:45,Lot G2,Arrest,assault,-93.6363807,42.010106,Violence Related
724,12-009811,9/15/2012 20:04,9/15/2012 20:04,9/15/2012 20:04,Lot G3,Arrest,liquor law violation,-93.6227301,42.0493019,Alcohol Related
725,12-009812,9/15/2012 20:40,9/15/2012 20:40,9/15/2012 20:40,Lot G3,Arrest,public intoxication,-93.6227301,42.0493019,Alcohol Related
726,12-009812,9/15/2012 20:40,9/15/2012 20:40,9/15/2012 20:40,Lot G3,Arrest,interference,-93.6227301,42.0493019,Miscellaneous
727,12-009813,9/15/2012 20:53,9/15/2012 20:53,9/15/2012 20:53,Lot G3,Arrest,liquor law violation,-93.6227301,42.0493019,Alcohol Related
728,12-009814,9/15/2012 21:30,9/15/2012 21:30,9/15/2012 21:30,Lot G2,Arrest,liquor law violation,-93.6363807,42.010106,Alcohol Related
729,12-009817,9/15/2012 22:16,9/15/2012 22:16,9/15/2012 22:16,Lot G2,Arrest,public intoxication,-93.6363807,42.010106,Alcohol Related
730,12-009818,9/15/2012 22:34,9/15/2012 22:34,9/15/2012 22:34,Lot G3,Arrest,public intoxication,-93.6227301,42.0493019,Alcohol Related
731,12-009819,9/16/2012 0:28,9/16/2012 0:28,9/16/2012 0:28,Hayward Avenue and Lincoln Way,Arrest,public intoxication,-93.6517059,42.0228461,Alcohol Related
732,12-009820,9/16/2012 0:40,9/16/2012 0:40,9/16/2012 0:40,Ash Avenue and Knapp Street,Arrest,public intoxication,-93.6443655,42.019142,Alcohol Related
733,12-009820,9/16/2012 0:40,9/16/2012 0:40,9/16/2012 0:40,Ash Avenue and Knapp Street,Arrest,liquor law violation,-93.6443655,42.019142,Alcohol Related
734,12-009821,9/16/2012 1:15,9/16/2012 1:15,9/16/2012 1:15,Ash Avenue and Knapp Street,Arrest,public intoxication,-93.6443655,42.019142,Alcohol Related
735,12-009822,9/16/2012 1:33,9/16/2012 1:33,9/16/2012 1:33,Ash Avenue and Sunset Drive,Arrest,liquor law violation,-93.6443636,42.0201199,Alcohol Related
736,12-009824,9/16/2012 2:36,9/16/2012 2:36,9/16/2012 2:36,Hyland Avenue and Lincoln Way,Arrest,liquor law violation,-93.6555907,42.0227264,Alcohol Related
737,12-009825,9/16/2012 3:48,9/16/2012 3:48,9/16/2012 3:48,South 4th Street and Beach Avenue,Arrest,operating while intoxicated,-93.63915,42.016289,Alcohol Related
738,12-009828,9/16/2012 23:35,9/16/2012 23:35,9/16/2012 23:35,Freeman Hall,Arrest,drug violation,-93.6416614,42.0247633,Drug Related
739,12-009828,9/16/2012 23:35,9/16/2012 23:35,9/16/2012 23:35,Freeman Hall,Arrest,liquor law violation,-93.6416614,42.0247633,Alcohol Related
740,12-009850,9/20/2012 1:09,9/20/2012 1:09,9/20/2012 1:09,Grand Avenue and Lincoln Way,Arrest,driving while barred,-93.6201078,42.0229238,Vehicle Related
741,12-009851,9/20/2012 1:51,9/20/2012 1:51,9/20/2012 1:51,Beach Road and Richardson Court,Arrest,public intoxication,-93.639189,42.02383,Alcohol Related
742,12-009851,9/20/2012 1:51,9/20/2012 1:51,9/20/2012 1:51,Beach Road and Richardson Court,Arrest,vandalism,-93.639189,42.02383,Non-Violence Related
743,12-009851,9/20/2012 1:51,9/20/2012 1:51,9/20/2012 1:51,Beach Road and Richardson Court,Arrest,theft,-93.639189,42.02383,Non-Violence Related
744,12-009852,9/20/2012 11:26,9/20/2012 11:26,9/20/2012 11:26,Lot 36,Arrest,driving under revocation,-93.6467188,42.0297736,Vehicle Related
745,12-009857,9/21/2012 0:00,9/21/2012 0:00,9/21/2012 0:00,Lettie Street and South Wilmoth Avenue,Arrest,liquor law violation,-93.6615876,42.0215154,Alcohol Related
746,12-009858,9/21/2012 1:31,9/21/2012 1:31,9/21/2012 1:31,200 block of Ash Avenue,Arrest,liquor law violation,-93.6440787,42.0212034,Alcohol Related
747,12-009859,9/21/2012 1:42,9/21/2012 1:42,9/21/2012 1:42,200 block of Ash Avenue,Arrest,interference,-93.6440787,42.0212034,Miscellaneous
748,12-009859,9/21/2012 1:42,9/21/2012 1:42,9/21/2012 1:42,200 block of Ash Avenue,Arrest,assault,-93.6440787,42.0212034,Violence Related
749,12-009860,9/21/2012 3:38,9/21/2012 3:38,9/21/2012 3:38,Wilson Hall,Arrest,public intoxication,-93.651021,42.0139143,Alcohol Related
750,12-009862,9/21/2012 10:52,9/21/2012 10:52,9/21/2012 10:52,Roberts Hall,Arrest,liquor law violation,-93.6425636,42.0239302,Alcohol Related
751,12-009862,9/21/2012 10:52,9/21/2012 10:52,9/21/2012 10:52,Roberts Hall,Arrest,unlawful use of license,-93.6425636,42.0239302,License Related
752,12-009862,9/21/2012 10:52,9/21/2012 10:52,10/11/2012 20:11,Roberts Hall,Arrest,drug violation,-93.6425636,42.0239302,Drug Related
753,12-009866,9/22/2012 0:09,9/22/2012 0:09,9/22/2012 0:09,Beach Avenue and Lincoln Way,Arrest,public intoxication,-93.639494,42.022655,Alcohol Related
754,12-009866,9/22/2012 0:09,9/22/2012 0:09,9/22/2012 0:09,Beach Avenue and Lincoln Way,Arrest,false information,-93.639494,42.022655,Fraud Related
755,12-009867,9/22/2012 0:10,9/22/2012 0:10,9/22/2012 0:10,200 block of Welch Avenue,Arrest,public intoxication,-93.6501941,42.0214439,Alcohol Related
756,12-009868,9/22/2012 0:31,9/22/2012 0:31,9/22/2012 0:31,2400 block of Chamberlain Street,Arrest,public intoxication,-93.648499,42.0214259,Alcohol Related
757,12-009869,9/22/2012 0:34,9/22/2012 0:34,9/22/2012 0:34,200 block of Welch Avenue,Arrest,public intoxication,-93.6501941,42.0214439,Alcohol Related
758,12-009870,9/22/2012 1:44,9/22/2012 1:44,9/22/2012 1:44,Hunt Street and Welch Avenue,Arrest,liquor law violation,-93.6501239,42.0202787,Alcohol Related
759,12-009871,9/22/2012 2:01,9/22/2012 2:01,9/22/2012 2:01,Friley Hall,Arrest,drug violation,-93.65045,42.0239234,Drug Related
760,12-009874,9/22/2012 3:19,9/22/2012 3:19,9/22/2012 3:19,100 block of Sheldon Avenue,Arrest,public intoxication,-93.65443,42.0217676,Alcohol Related
761,12-009876,9/22/2012 19:12,9/22/2012 19:12,9/22/2012 19:12,Arboretum,Arrest,drug violation,-93.6387303,42.011617,Drug Related
762,12-009876,9/22/2012 19:12,9/22/2012 19:12,9/22/2012 19:12,Arboretum,Arrest,liquor law violation,-93.6387303,42.011617,Alcohol Related
763,12-009886,9/22/2012 21:26,9/22/2012 21:26,9/22/2012 21:26,Mortensen Road and State Avenue,Arrest,liquor law violation,-93.6589323,42.0118849,Alcohol Related
764,12-009878,9/22/2012 23:03,9/22/2012 23:03,9/22/2012 23:03,Willow Hall,Arrest,liquor law violation,-93.6377325,42.0239136,Alcohol Related
765,12-009880,9/23/2012 0:16,9/23/2012 0:16,9/23/2012 0:16,Knapp Street and Welch Avenue,Arrest,liquor law violation,-93.6500882,42.0191138,Alcohol Related
766,12-009881,9/23/2012 1:25,9/23/2012 1:25,9/23/2012 1:25,Lincoln Way and Welch Avenue,Arrest,public intoxication,-93.6501393,42.0227328,Alcohol Related
767,12-009882,9/23/2012 1:55,9/23/2012 1:55,9/23/2012 1:55,100 block of Welch Avenue,Arrest,public intoxication,-93.6501392,42.02272,Alcohol Related
768,12-009883,9/23/2012 4:04,9/23/2012 4:04,9/23/2012 4:04,Chamberlain Street and Hayward Avenue,Arrest,public intoxication,-93.6517204,42.0214474,Alcohol Related
769,12-009894,9/24/2012 23:08,9/24/2012 23:08,9/24/2012 23:08,Arboretum,Arrest,drug violation,-93.6387303,42.011617,Drug Related
770,12-009896,9/25/2012 2:50,9/25/2012 2:50,9/25/2012 2:50,Southwest Athletic Complex,Arrest,public intoxication,-93.6571453,42.0163142,Alcohol Related
771,12-009902,9/25/2012 21:41,9/25/2012 21:41,9/25/2012 21:41,Wallace Hall,Arrest,drug violation,-93.6499279,42.0142261,Drug Related
772,12-009904,9/25/2012 22:26,9/25/2012 22:26,9/25/2012 22:26,300 block of South Sheldon Avenue,Arrest,drug violation,-93.653788,42.0207,Drug Related
773,12-009909,9/26/2012 21:07,9/26/2012 21:07,9/26/2012 21:07,Hawthorn Court Drive and Stange Road,Arrest,driving under suspension,-93.64473,42.0338708,Vehicle Related
774,12-009910,9/27/2012 1:36,9/27/2012 1:36,9/27/2012 1:36,Hunt Street and Welch Avenue,Arrest,public intoxication,-93.6501239,42.0202787,Alcohol Related
775,12-009914,9/27/2012 20:01,9/27/2012 20:01,9/27/2012 20:01,Larch Hall,Arrest,drug violation,-93.6382868,42.0232779,Drug Related
776,12-009914,9/27/2012 20:01,9/27/2012 20:01,9/27/2012 20:01,Larch Hall,Arrest,liquor law violation,-93.6382868,42.0232779,Alcohol Related
777,12-009915,9/27/2012 20:23,9/27/2012 20:23,9/27/2012 20:23,Wilson Hall,Arrest,drug violation,-93.651021,42.0139143,Drug Related
778,12-009916,9/28/2012 0:46,9/28/2012 0:46,9/28/2012 0:46,Lot 63,Arrest,drug violation,-93.6367573,42.0239698,Drug Related
779,12-009917,9/28/2012 4:12,9/28/2012 4:12,9/28/2012 4:12,Lincoln Way and Sheldon Avenue,Arrest,public intoxication,-93.6542392,42.0227224,Alcohol Related
780,12-009923,9/28/2012 20:09,9/28/2012 20:09,9/28/2012 20:09,South 16th Street and University Boulevard,Arrest,drug violation,-93.6337562,42.0114627,Drug Related
781,12-009926,9/28/2012 22:20,9/28/2012 22:20,9/28/2012 22:20,Central Campus,Arrest,drug violation,-93.6464654,42.0266187,Drug Related
782,12-009928,9/28/2012 22:49,9/28/2012 22:49,9/28/2012 22:49,Beach Avenue and Center Drive,Arrest,operating while intoxicated,-93.6394539,42.0195934,Alcohol Related
783,12-009929,9/28/2012 23:12,9/28/2012 23:12,9/28/2012 23:12,Friley Hall,Arrest,liquor law violation,-93.65045,42.0239234,Alcohol Related
784,12-009930,9/28/2012 23:43,9/28/2012 23:43,9/28/2012 23:43,Central Campus,Arrest,public intoxication,-93.6464654,42.0266187,Alcohol Related
785,12-009932,9/29/2012 0:16,9/29/2012 0:16,9/29/2012 0:16,Frederiksen Court,Arrest,public intoxication,-93.6440878,42.0340306,Alcohol Related
786,12-009934,9/29/2012 1:29,9/29/2012 1:29,9/29/2012 1:29,Chamberlain Street and Lynn Avenue,Arrest,public intoxication,-93.6464356,42.0215381,Alcohol Related
787,12-009936,9/29/2012 2:42,9/29/2012 2:42,9/29/2012 2:42,Helser Hall,Arrest,public intoxication,-93.6518379,42.02424,Alcohol Related
788,12-009935,9/29/2012 2:53,9/29/2012 2:53,9/29/2012 2:53,Lincoln Way and Wilmoth Avenue,Arrest,public intoxication,-93.6615998,42.0227611,Alcohol Related
789,12-009940,9/29/2012 5:23,9/29/2012 5:23,9/29/2012 5:23,300 block of Stanton Avenue,Arrest,liquor law violation,-93.6481458,42.0202997,Alcohol Related
790,12-009942,9/29/2012 13:23,9/29/2012 1:23,9/29/2012 1:23,Lot G3,Arrest,liquor law violation,-93.6227301,42.0493019,Alcohol Related
791,12-009943,9/29/2012 14:17,9/29/2012 14:17,9/29/2012 14:17,Lot G3,Arrest,liquor law violation,-93.6227301,42.0493019,Alcohol Related
792,12-009944,9/29/2012 14:45,9/29/2012 14:45,9/29/2012 14:45,Lot C4,Arrest,liquor law violation,-93.6347608,42.0186377,Alcohol Related
793,12-009945,9/29/2012 15:04,9/29/2012 15:04,9/29/2012 15:04,Lot C5,Arrest,liquor law violation,-93.634768,42.0177172,Alcohol Related
794,12-009946,9/29/2012 15:27,9/29/2012 15:27,9/29/2012 15:27,Lot G3,Arrest,liquor law violation,-93.6227301,42.0493019,Alcohol Related
795,12-009947,9/29/2012 15:42,9/29/2012 15:42,9/29/2012 15:42,Lot G3,Arrest,liquor law violation,-93.6227301,42.0493019,Alcohol Related
796,12-009950,9/29/2012 16:01,9/29/2012 16:01,9/29/2012 16:01,Lot S8,Arrest,liquor law violation,-93.6334165,42.0148466,Alcohol Related
797,12-009949,9/29/2012 16:04,9/29/2012 16:04,9/29/2012 16:04,Lot G3,Arrest,liquor law violation,-93.6227301,42.0493019,Alcohol Related
798,12-009951,9/29/2012 16:08,9/29/2012 16:08,9/29/2012 16:08,Lot S4,Arrest,liquor law violation,-93.6348588,42.0120423,Alcohol Related
799,12-009953,9/29/2012 16:13,9/29/2012 16:13,9/29/2012 16:13,Lot G3,Arrest,liquor law violation,-93.6227301,42.0493019,Alcohol Related
800,12-009952,9/29/2012 16:14,9/29/2012 16:14,9/29/2012 16:14,Lot C6,Arrest,liquor law violation,-93.6347647,42.0167821,Alcohol Related
801,12-009954,9/29/2012 16:27,9/29/2012 16:27,9/29/2012 16:27,Lot D4,Arrest,liquor law violation,-93.6331915,42.016812,Alcohol Related
802,12-009955,9/29/2012 16:39,9/29/2012 16:39,9/29/2012 16:39,Lot C3,Arrest,liquor law violation,-93.6347895,42.0192833,Alcohol Related
803,12-009956,9/29/2012 16:57,9/29/2012 16:57,9/29/2012 16:57,Beach Avenue and Greenbriar Circle,Arrest,liquor law violation,-93.639397,42.0125416,Alcohol Related
804,12-009957,9/29/2012 17:10,9/29/2012 17:10,9/29/2012 17:10,Lot 85E,Arrest,liquor law violation,-93.6344334,42.0157296,Alcohol Related
805,12-009958,9/29/2012 17:24,9/29/2012 17:24,9/29/2012 17:24,Lot G5,Arrest,liquor law violation,-93.6286452,42.0096516,Alcohol Related
806,12-009960,9/29/2012 17:27,9/29/2012 17:27,9/29/2012 17:27,Jack Trice Stadium,Arrest,public intoxication,-93.635664,42.016144,Alcohol Related
807,12-009961,9/29/2012 17:37,9/29/2012 17:37,9/29/2012 17:37,Lot G3,Arrest,liquor law violation,-93.6227301,42.0493019,Alcohol Related
808,12-009962,9/29/2012 17:38,9/29/2012 17:38,9/29/2012 17:38,Lot G2,Arrest,liquor law violation,-93.6363807,42.010106,Alcohol Related
809,12-009964,9/29/2012 17:42,9/29/2012 17:42,9/29/2012 17:42,Lot G2,Arrest,public intoxication,-93.6363807,42.010106,Alcohol Related
810,12-009963,9/29/2012 17:46,9/29/2012 17:46,9/29/2012 17:46,Lot G3,Arrest,liquor law violation,-93.6227301,42.0493019,Alcohol Related
811,12-009965,9/29/2012 18:00,9/29/2012 18:00,9/29/2012 18:00,Lot G3,Arrest,public intoxication,-93.6227301,42.0493019,Alcohol Related
812,12-009965,9/29/2012 18:00,9/29/2012 18:00,9/29/2012 18:00,Lot G3,Arrest,liquor law violation,-93.6227301,42.0493019,Alcohol Related
813,12-009965,9/29/2012 18:00,9/29/2012 18:00,9/29/2012 18:00,Lot G3,Arrest,interference,-93.6227301,42.0493019,Miscellaneous
814,12-009965,9/29/2012 18:00,9/29/2012 18:00,9/29/2012 18:00,Lot G3,Arrest,false information,-93.6227301,42.0493019,Fraud Related
815,12-009966,9/29/2012 18:07,9/29/2012 18:07,9/29/2012 18:07,Lot G3,Arrest,liquor law violation,-93.6227301,42.0493019,Alcohol Related
816,12-009968,9/29/2012 19:31,9/29/2012 19:31,9/29/2012 19:31,Lot G3,Arrest,liquor law violation,-93.6227301,42.0493019,Alcohol Related
817,12-009969,9/29/2012 19:52,9/29/2012 19:52,9/29/2012 19:52,Lot G3,Arrest,drug violation,-93.6227301,42.0493019,Drug Related
818,12-009969,9/29/2012 19:52,9/29/2012 19:52,9/1/2012 19:52,Lot G3,Arrest,liquor law violation,-93.6227301,42.0493019,Alcohol Related
819,12-009970,9/29/2012 20:08,9/29/2012 20:08,9/29/2012 20:08,Lot G3,Arrest,liquor law violation,-93.6227301,42.0493019,Alcohol Related
820,12-009971,9/29/2012 20:21,9/29/2012 20:21,9/29/2012 20:21,Campus Avenue and West Street,Arrest,operating while intoxicated,-93.6570365,42.0253277,Alcohol Related
821,12-009972,9/29/2012 20:21,9/29/2012 20:21,9/29/2012 20:21,Lot G3,Arrest,public intoxication,-93.6227301,42.0493019,Alcohol Related
822,12-009975,9/29/2012 21:18,9/29/2012 21:18,9/29/2012 21:18,Lot G2,Arrest,public intoxication,-93.6363807,42.010106,Alcohol Related
823,12-009974,9/29/2012 21:23,9/29/2012 21:23,9/29/2012 21:23,Lot G3,Arrest,liquor law violation,-93.6227301,42.0493019,Alcohol Related
824,12-009976,9/29/2012 21:35,9/29/2012 21:35,9/29/2012 21:35,Lot S4,Arrest,public intoxication,-93.6348588,42.0120423,Alcohol Related
825,12-009980,9/29/2012 23:28,9/29/2012 23:28,9/29/2012 23:28,South 16th Street and University Boulevard,Arrest,public intoxication,-93.6337562,42.0114627,Alcohol Related
826,12-009982,9/30/2012 0:40,9/30/2012 0:40,9/30/2012 0:40,Wallace Hall,Arrest,public intoxication,-93.6499279,42.0142261,Alcohol Related
827,12-009983,9/30/2012 1:11,9/30/2012 1:11,9/30/2012 1:11,Frederiksen Court,Arrest,liquor law violation,-93.6440878,42.0340306,Alcohol Related
828,12-009983,9/30/2012 1:11,9/30/2012 1:11,9/30/2012 1:11,Frederiksen Court,Arrest,unlawful use of license,-93.6440878,42.0340306,License Related
829,12-009993,10/2/2012 2:10,10/2/2012 2:10,10/2/2012 2:10,Union Drive and Welch Road,Arrest,public intoxication,-93.649224,42.0239964,Alcohol Related
830,12-009995,10/2/2012 7:55,10/2/2012 7:55,10/2/2012 7:55,South 16th Street and South Riverside Drive,Arrest,driving under suspension,-93.6296687,42.0092298,Vehicle Related
831,12-010000,10/3/2012 1:49,10/3/2012 1:49,10/3/2012 1:49,Beach Road and Lincoln Way,Arrest,driving under suspension,-93.6394928,42.0227678,Vehicle Related
