recall_number,reason_for_recall,recalling_firm,distribution_pattern,report_date,termination_date,status
020-2022,Unreported Allergens,Creminelli Fine Meats,NA,2022-06-28,2022-10-07,Terminated
PHA-06242022,Import Violation,NA,"Georgia, Maryland, Massachusetts, Michigan, New Jersey, New York, Pennsylvania, Virginia, Nationwide",2022-06-24,NA,Ongoing
019-2022,Import Violation,NA,NA,2022-06-13,2022-10-04,Terminated
018-2022,Product Contamination,"Northern Tier Bakery, LLC","Minnesota, Wisconsin",2022-06-09,2023-03-09,Terminated
PHA-05272022,Product Contamination,A G Specialty Foods,NA,2022-05-27,NA,Ongoing
017-2022,Product Contamination,Smithfield Packaged Meats Corp.,Nationwide,2022-05-20,2023-03-09,Terminated
016-2022,"Mislabeling, Product Contamination","America New York Ri Wang Food Group Co., Ltd.",Nationwide,2022-05-18,2022-08-17,Terminated
PHA-05182022-01,Processing Defect,Plumrose USA,"Illinois, Indiana, Ohio",2022-05-18,NA,Ongoing
pha-05132022-01,Misbranding,NA,West Virginia,2022-05-13,NA,Ongoing
pha-051122-01,Product Contamination,NPC Processing Inc.,NA,2022-05-11,NA,Ongoing
012-2022-EXP,Processing Defect,Wayne Farms LLC,"North Carolina, South Carolina, Virginia",2022-05-07,2022-08-30,Terminated
014-2022,"Misbranding, Unreported Allergens",Olympia Meats,"Maine, Oregon, Washington",2022-05-06,2022-06-22,Terminated
015-2022,Produced Without Benefit of Inspection,NA,"Alabama, Georgia, Mississippi, Tennessee",2022-05-06,2022-10-19,Terminated
013-2022,"Misbranding, Unreported Allergens","Safeway Fresh Food, LLC","Delaware, Maryland, New Jersey, New York, Pennsylvania, Virginia",2022-05-03,2022-06-03,Terminated
012-2022,Processing Defect,Wayne Farms LLC,NA,2022-04-29,2022-08-30,Terminated
PHA-04282022-01,Produced Without Benefit of Inspection,NA,NA,2022-04-28,NA,Ongoing
PHA-04272022-01,Product Contamination,NA,NA,2022-04-27,NA,Ongoing
011-2022,Product Contamination,NA,NA,2022-04-25,2022-07-06,Terminated
010-2022,Produced Without Benefit of Inspection,NA,"Alabama, Georgia, South Carolina, Tennessee, Virginia",2022-04-22,2022-08-25,Terminated
009-2022,Produced Without Benefit of Inspection,NA,NA,2022-04-16,2022-08-25,Terminated
PHA-03252022-01,"Misbranding, Unreported Allergens",Taylor Farms New England Inc.,"Connecticut, Maine, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont",2022-03-25,NA,Ongoing
PHA-03232022-01,"Misbranding, Unreported Allergens",Charlie's Produce,Alaska,2022-03-23,NA,Ongoing
PHA-03102022-01,Product Contamination,"R & G Fine Foods, Inc.","Arizona, California, Nevada, New Mexico, Utah",2022-03-10,NA,Ongoing
008-2022,Product Contamination,Boyd Specialties LLC,Texas,2022-03-04,2022-08-25,Terminated
PHA-03012022-01,"Misbranding, Unreported Allergens",NA,NA,2022-03-01,NA,Ongoing
007-2022,Misbranding,Frickenschmidt Foods LLC,NA,2022-02-22,2022-06-22,Terminated
006-2022,Import Violation,NA,"Illinois, Indiana, Michigan, Wisconsin",2022-02-18,2022-03-31,Terminated
005-2022,"Misbranding, Unreported Allergens","Morgan Foods, Inc.",NA,2022-02-16,2022-10-03,Terminated
004-2022,Misbranding,Great American Cobbler Company LLC,"Georgia, Wisconsin, Virginia",2022-02-11,2022-03-28,Terminated
PHA-01282022-01,Product Contamination,NA,Georgia,2022-01-28,NA,Ongoing
003-2022,Misbranding,NA,NA,2022-01-08,2022-08-25,Terminated
002-2022,Misbranding,NA,NA,2022-01-06,2022-10-27,Terminated
001-2022,Product Contamination,NA,NA,2022-01-06,2022-02-02,Terminated
PHA-12292021-01,Import Violation,NA,NA,2021-12-29,NA,Ongoing
PHA-12182021-01,Product Contamination,Swiss Processing Plant Inc.,Missouri,2021-12-18,NA,Ongoing
pha-12182021-02,"Misbranding, Unreported Allergens","Fortune Avenue Foods, Inc.",NA,2021-12-18,NA,Ongoing
047-2021,Product Contamination,NA,NA,2021-12-14,2022-02-10,Terminated
046-2021,Product Contamination,NA,NA,2021-12-05,2022-03-31,Terminated
045-2021,Import Violation,NA,NA,2021-12-03,2022-03-10,Terminated
044-2021,Product Contamination,Shamrock Foods Company,California,2021-11-15,2021-12-20,Terminated
042-2021,Product Contamination,Euro Foods Inc.,NA,2021-11-10,2022-01-06,Terminated
043-2021,Product Contamination,"Innovative Solutions, Inc",NA,2021-11-10,2022-01-28,Terminated
PHA-10292021,Product Contamination,NA,NA,2021-10-29,NA,Ongoing
041-2021,Import Violation,NA,Pennsylvania,2021-10-21,2022-02-25,Terminated
040-2021,Misbranding,Demaiz Inc. dba: Mextamale Foods,California,2021-10-20,2021-11-18,Terminated
039-2021,Import Violation,Evans Food Group,"Arizona, California, Nevada, New Mexico, Utah, Washington",2021-10-14,2022-01-05,Terminated
038-2021,Product Contamination,"Butterball, LLC",Nationwide,2021-10-13,2021-11-18,Terminated
36-2021,Product Contamination,"I-65 BBQ, Inc.",North Carolina,2021-10-08,2021-10-22,Terminated
037-2021,Product Contamination,"Crider, Inc.",NA,2021-10-08,2022-02-02,Terminated
035-2021,Product Contamination,Espi's Sausage and Tocino Co.,California,2021-09-28,2021-09-21,Terminated
034-2021,"Misbranding, Unreported Allergens",NA,NA,2021-09-26,2022-01-07,Terminated
033-2021,Product Contamination,NA,NA,2021-09-25,2021-12-20,Terminated
032-2021,"Misbranding, Unreported Allergens",NA,NA,2021-09-23,2021-12-09,Terminated
031-2021,Produced Without Benefit of Inspection,NA,"Illinois, Indiana, Minnesota, Ohio, Wisconsin",2021-09-13,2022-03-10,Terminated
PHA-09102021,Misbranding,NA,"Texas, North Carolina, Tennessee",2021-09-10,NA,Ongoing
030-2021,Product Contamination,"Fratelli Beretta USA, Inc.",NA,2021-08-27,2021-11-18,Terminated
029-2021,Product Contamination,"WILLOW TREE POULTRY FARM, INC.","Connecticut, Massachusetts, Maine, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont",2021-08-24,2022-01-04,Terminated
028-2021,Product Contamination,"Serenade Foods, Division of Maple Leaf Farms, Inc.",NA,2021-08-10,2021-11-18,Terminated
027-2021,Product Contamination,Blount Fine Foods Corp.,Texas,2021-08-05,2021-09-28,Terminated
026-2021,Product Contamination,"Greater Omaha Packing Co., Inc.","Illinois, Indiana, Minnesota, Nebraska",2021-07-29,2022-05-10,Terminated
025-2021,"Misbranding, Unreported Allergens",NA,"Minnesota, Tennessee",2021-07-24,2021-08-17,Terminated
024-2021,Misbranding,"Green Dining Table, Inc.",NA,2021-07-16,2022-01-11,Terminated
023-2021,Product Contamination,NA,Nationwide,2021-07-03,2022-10-03,Terminated
PHA-06022021,Product Contamination,NA,NA,2021-06-02,NA,Ongoing
022-2021,"Misbranding, Unreported Allergens","King's Command Foods, LLC","California, Idaho, Illinois, Minnesota, Missouri, North Carolina, Oregon, Texas, Virginia, Washington",2021-05-28,2021-07-26,Terminated
021-2021,"Misbranding, Unreported Allergens","Legacy Food Company Inc,",California,2021-05-26,2021-09-29,Terminated
PHA-05242021,Product Contamination,NA,Florida,2021-05-25,NA,Ongoing
020-2021,Produced Without Benefit of Inspection,NA,"Illinois, Indiana",2021-05-22,2022-03-17,Terminated
019-2021,Produced Without Benefit of Inspection,"Milan Provision Co., Inc.",New York,2021-05-21,2021-06-30,Terminated
018-2021,"Misbranding, Unreported Allergens",Kraft Heinz Foods Company,NA,2021-05-17,2022-01-26,Terminated
PHA-05142021-01,Import Violation,NA,NA,2021-05-14,NA,Ongoing
017-2021,Misbranding,"Bellisio Foods, Inc.",NA,2021-05-04,2021-06-14,Terminated
016-2021,Misbranding,Hempstead Foodservice Inc.,New York,2021-05-01,2021-06-24,Terminated
015-2021,Product Contamination,Ajinomoto Health & Nutrition North America,NA,2021-04-24,2021-06-08,Terminated
014-2021,Import Violation,NA,NA,2021-04-23,2021-07-02,Terminated
013-2021,Product Contamination,NA,"New York, Pennsylvania",2021-04-16,2021-06-08,Terminated
012-2021,Product Contamination,NA,California,2021-04-15,2021-05-13,Terminated
PHA-04102021,Product Contamination,"Plainville Brands, LLC",NA,2021-04-10,NA,Ongoing
pha-04022021-01,Product Contamination,NA,NA,2021-04-02,NA,Ongoing
011-2021,Import Violation,NA,NA,2021-04-01,2021-06-16,Terminated
010-2021,Import Violation,NA,"California, Nevada, Oklahoma",2021-03-24,2021-04-22,Terminated
009-2021,Produced Without Benefit of Inspection,NA,NA,2021-03-20,2022-01-28,Terminated
pha-03192021-01,Produced Without Benefit of Inspection,NA,NA,2021-03-19,NA,Ongoing
pha-03122021-01,Misbranding,"The Vons Companies, Inc.","Alaska, Arizona, California, Hawaii, Idaho, Montana, Nevada, New Mexico, Oregon, Utah, Washington, Wyoming",2021-03-12,NA,Ongoing
008-2021,Import Violation,NA,NA,2021-03-01,2021-09-21,Terminated
007-2021,Product Contamination,J&J Distributing,"Minnesota, Wisconsin",2021-02-26,2021-11-18,Terminated
PHA-02252021-01,"Misbranding, Unreported Allergens",NA,"Illinois, Indiana, Iowa, Kentucky, Michigan, Minnesota, Missouri, Ohio, Wisconsin",2021-02-25,NA,Ongoing
006-2021,Produced Without Benefit of Inspection,NA,"Arizona, California, Hawaii, Nevada, New York, Texas",2021-02-22,2021-04-02,Terminated
005-2021,Produced Without Benefit of Inspection,NA,NA,2021-02-19,2021-09-08,Terminated
004-2021,Produced Without Benefit of Inspection,Food Evolution,Illinois,2021-02-05,2021-04-19,Terminated
PHA-02022021-01,Product Contamination,NA,Illinois,2021-02-02,NA,Ongoing
003-2021,Product Contamination,"BEF Foods, Inc.","Indiana, Michigan, Ohio, Pennsylvania, Wisconsin",2021-01-21,2021-05-04,Terminated
PHA-01152021-01,"Misbranding, Unreported Allergens",NA,California,2021-01-15,NA,Ongoing
002-2021,Product Contamination,NA,NA,2021-01-15,2021-03-22,Terminated
PHA-01072021-01,"Misbranding, Unreported Allergens",NA,"Illinois, Kansas, Minnesota, Missouri, Nebraska, South Dakota, Wisconsin",2021-01-07,NA,Ongoing
001-2021,Misbranding,NA,"California, Colorado, Indiana, Maryland, Maine, New York, Oregon",2020-01-02,2021-03-02,Terminated
PHA-12312020-01,"Misbranding, Unreported Allergens",NA,"Illinois, Indiana, Kentucky, Michigan, Minnesota, Missouri, Ohio, Pennsylvania, Wisconsin",2020-12-31,NA,Ongoing
031-2020,Produced Without Benefit of Inspection,NA,NA,2020-12-23,2021-06-29,Terminated
029-2020,Produced Without Benefit of Inspection,NA,NA,2020-12-19,2021-04-06,Terminated
PHA-12192020-01,"Mislabeling, Produced Without Benefit of Inspection",NA,"California, Oregon, Washington",2020-12-19,NA,Ongoing
030-2020,"Product Contamination, Unfit for Human Consumption",NA,NA,2020-12-19,2021-07-26,Terminated
PHA-12172020-01,"Misbranding, Unreported Allergens","Country Meats, LLC",NA,2020-12-17,NA,Ongoing
PHA-12082020-01,Produced Without Benefit of Inspection,Texas Livestock & Halal Meat Processors,Texas,2020-12-08,NA,Ongoing
028-2020,Mislabeling,NA,New York,2020-12-04,2020-12-30,Terminated
027-2020,Unfit for Human Consumption,Tarantino Wholesale Foods Distributor,California,2020-11-26,2021-02-03,Terminated
PHA-11212020-01,"Misbranding, Unreported Allergens",NA,"California, New York, Texas",2020-11-21,NA,Ongoing
PHA-11152020-01,"Product Contamination, Unfit for Human Consumption",Tucson Tamale Wholesale Company LLC,Nationwide,2020-11-15,NA,Ongoing
PHA-11122020-01,Produced Without Benefit of Inspection,Wegmans Food Markets,"Massachusetts, New York, Pennsylvania",2020-11-12,NA,Ongoing
026-2020,"Misbranding, Unreported Allergens",Stuffed Foods LLC,NA,2020-11-11,2021-03-02,Terminated
PHA-11042020-01,"Product Contamination, Unfit for Human Consumption","Kwik Trip, Inc.","Iowa, Minnesota, Wisconsin",2020-11-04,NA,Ongoing
025-2020,Produced Without Benefit of Inspection,"Taher, Inc.",Minnesota,2020-10-17,2021-09-02,Terminated
PHA-10092020-01,"Product Contamination, Unfit for Human Consumption","Taylor Farms TX, Inc.",Texas,2020-10-09,NA,Ongoing
024-2020,"Misbranding, Unreported Allergens","WILLOW TREE POULTRY FARM, INC.","Connecticut, District of Columbia, Maine, Maryland, Massachusetts, New Hampshire, Rhode Island, Vermont, Virginia",2020-09-16,2020-10-26,Terminated
023-2020,"Misbranding, Unreported Allergens",Cher-Make Sausage Company,"Illinois, Minnesota, Nebraska, North Carolina, South Dakota, Wisconsin",2020-09-11,2022-01-11,Terminated
PHA-09042020-01,Unfit for Human Consumption,NA,NA,2020-09-04,NA,Ongoing
022-2020,"Misbranding, Unreported Allergens",Ukrop's Homestyle Foods,"North Carolina, Ohio, Virginia, West Virginia",2020-08-31,2021-12-03,Terminated
021-2020,"Misbranding, Unreported Allergens",Oberto Snacks Inc.,NA,2020-08-22,2021-01-11,Terminated
020-2020,"Misbranding, Unreported Allergens","Faribault Foods, Inc.",NA,2020-08-18,2022-02-07,Terminated
019-2020,"Misbranding, Unreported Allergens",Mr Wok Foods Inc. dba Maxfield Foods,NA,2020-08-10,2020-10-16,Terminated
PHA-08072020-01,Product Contamination,Blue Grass Provisions Co. Inc.,"Kentucky, Ohio, North Carolina, Virginia",2020-08-07,NA,Ongoing
PHA-08052020-01,Product Contamination,"Taylor Farms TX, Inc.","Arkansas, Louisiana, Mississippi, Oklahoma, Texas",2020-08-05,NA,Ongoing
PHA-08012020,"Product Contamination, Unfit for Human Consumption",Ajinomoto Foods North America,NA,2020-08-01,NA,Ongoing
018-2020,Produced Without Benefit of Inspection,Balter Meat Co.,"Florida, Georgia, North Carolina, South Carolina",2020-07-30,2020-09-15,Terminated
017-2020,Produced Without Benefit of Inspection,NA,Florida,2020-07-28,2020-10-01,Terminated
016-2020,Produced Without Benefit of Inspection,NA,Tennessee,2020-07-24,2022-01-11,Terminated
015-2020,Produced Without Benefit of Inspection,Tempura Foods & Spices LLC,"New Jersey, New York, Pennsylvania, Texas, Virginia",2020-07-17,2020-12-15,Terminated
PHA-07082020-01,Unreported Allergens,BrucePac - Durant,NA,2020-07-08,NA,Ongoing
014-2020,Product Contamination,Pilgrim's Pride Corporation,"Arizona, Idaho, Oregon, Texas",2020-06-28,2020-08-13,Terminated
013-2020,Produced Without Benefit of Inspection,NA,"Arkansas, Missouri, Texas",2020-06-17,2020-06-25,Terminated
012-2020,Product Contamination,Lakeside Refrigerated Services,NA,2020-06-13,2021-09-21,Terminated
011-2020,"Misbranding, Unreported Allergens",Nestle Prepared Foods Company,NA,2020-05-28,2022-11-09,Terminated
007-2020-EXP,Product Contamination,"ConAgra Brands, Inc.",NA,2020-05-22,2020-11-11,Terminated
010-2020,Misbranding,Evans Food Group,NA,2020-05-13,2020-07-16,Terminated
009-2020,Produced Without Benefit of Inspection,Ideal Foods,California,2020-05-12,2020-06-09,Terminated
PHA-05122020-01,Product Contamination,P&S Ravioli,"New Jersey, Pennsylvania",2020-05-12,NA,Ongoing
PHA-05022020,Mislabeling,"Roundy's Supermarkets, Inc.",NA,2020-05-02,NA,Ongoing
007-2020,Product Contamination,"ConAgra Brands, Inc.",NA,2020-04-10,2020-12-09,Terminated
008,Produced Without Benefit of Inspection,NA,"Illinois, Wisconsin",2020-04-10,2020-06-23,Terminated
006-2020,"Misbranding, Unreported Allergens","Family Traditions Meat Company, Inc.","Illinois, Iowa, Kansas, Minnesota, Missouri, South Dakota, Wisconsin",2020-02-08,2021-03-10,Terminated
005-2020,"Misbranding, Unreported Allergens",Pegasus Foods Inc.,NA,2020-01-29,2020-04-14,Terminated
003-2020,Product Contamination,Amity Packing Co. Inc.,"Illinois, Indiana, Kentucky, Michigan, New Jersey, New York, Ohio, Pennsylvania, Wisconsin",2020-01-24,2021-02-03,Terminated
004-2020,Import Violation,NA,"California, Hawaii, Nevada, New York, Oregon, Utah, Washington",2020-01-24,2020-05-15,Terminated
002-2020,"Misbranding, Unreported Allergens","Ruiz Food Products, Inc.",NA,2020-01-10,2020-05-18,Terminated
PHA-01092020-01,Misbranding,Carso's Pasta Company,Washington,2020-01-09,NA,Ongoing
001-2020,"Misbranding, Unreported Allergens","Kettle Cuisine Midco, LLC","Connecticut, Maryland, New Jersey, New York, Pennsylvania, District of Columbia",2020-01-03,2021-02-12,Terminated
PHA-01022020,Unfit for Human Consumption,Sun Foods,NA,2020-01-02,NA,Ongoing
124-2019,"Misbranding, Unreported Allergens",J&J Distributing,Minnesota,2020-12-30,2020-03-24,Terminated
123-2019,Product Contamination,"Advance Pierre Foods, Inc.",Iowa,2019-12-20,2020-06-26,Terminated
122-2019,Product Contamination,Ashland Sausage Company,"Illinois, New York",2019-12-20,2020-04-29,Terminated
121-2019,Import Violation,NA,"California, Maryland, New Jersey",2019-12-19,2020-03-27,Terminated
120-2019,Import Violation,NA,"New Jersey, New York, Virginia",2019-12-18,2020-03-04,Terminated
pha-121319,Misbranding,NA,NA,2019-12-13,NA,Ongoing
119-2019,Product Contamination,"Ruiz Food Products, Inc.",NA,2019-12-10,2020-04-25,Terminated
118-2019,"Misbranding, Unreported Allergens",Blue Grass Provisions Co. Inc.,"Kentucky, Michigan, Ohio, Virginia, West Virginia",2019-11-29,2020-03-17,Terminated
117-2019,Product Contamination,Ajinomoto Foods North America,"Florida, Georgia, Illinois, Maryland, Michigan, New Jersey, Texas",2019-11-22,2020-03-04,Terminated
pha-112219,Product Contamination,Missa Bay LLC,California,2019-11-22,NA,Ongoing
115-2019,Product Contamination,Missa Bay LLC,"Alabama, Connecticut, Florida, Georgia, Illinois, Indiana, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, New Jersey, New York, North Carolina, Ohio, Pennsylvania, South Carolina, Virginia, Wisconsin",2019-11-21,2021-07-26,Terminated
116-2019,Produced Without Benefit of Inspection,Morris Meat Packing,Illinois,2019-11-21,2020-03-30,Terminated
114-2019,Misbranding,BrucePac,California,2019-11-19,2020-01-08,Terminated
113-2019,Product Contamination,"Central Valley Meat Co., Inc.",California,2019-11-15,2020-01-09,Terminated
112-2019,"Misbranding, Unreported Allergens",CREATIVE FOOD PROCESSING,California,2019-11-13,2020-01-08,Terminated
111-2019,Product Contamination,Ezzo Sausage Company,"Indiana, Ohio",2019-11-09,2020-02-04,Terminated
110-2019,Import Violation,NA,"Massachusetts, New Jersey, New York, Pennsylvania",2019-11-08,2021-01-05,Terminated
pha-110819,Product Contamination,NA,NA,2019-11-08,NA,Ongoing
109-2019,Product Contamination,Rastelli,"Colorado, Connecticut, Georgia, Illinois, Maryland",2019-11-07,2021-07-26,Terminated
108-2019,Product Contamination,"Simmons Prepared Foods, Inc.","Alabama, Arizona, Arkansas, California, Georgia, Minnesota, Oklahoma, Pennsylvania",2019-11-06,NA,Ongoing
107-2019,Mislabeling,Padrino Foods LLC,"Kansas, Louisiana, Oklahoma, Texas",2019-11-04,2019-12-05,Terminated
106-2019,Import Violation,NA,California,2019-11-04,2020-05-06,Terminated
pha-110219-01,Misbranding,NEW YORK STYLE SAUSAGE CO.,California,2019-11-02,NA,Ongoing
105-2019,Produced Without Benefit of Inspection,NA,"Florida, Georgia, Louisiana, South Carolina",2019-10-29,NA,Ongoing
104-2019,Product Contamination,"OSI Industries, LLC","Iowa, Wisconsin",2019-10-28,2019-12-13,Terminated
103-2019,Mislabeling,"Taylor's Sausage, Inc.","California, Oregon",2019-10-25,2019-12-09,Terminated
102-2019,Product Contamination,"Gold Creek Foods, LLC",NA,2019-10-18,2019-12-06,Terminated
100-2019,Insanitary Conditions,T&R Enterprise USA Inc.,"Georgia, Missouri",2019-10-18,2021-03-17,Terminated
101-2019,Product Contamination,Pride Enterprise Food Products,Florida,2019-10-18,2021-02-03,Terminated
099-2019,"Mislabeling, Unreported Allergens",MawMaw's Chicken Pies,North Carolina,2019-10-18,2020-05-19,Terminated
098-2019,Import Violation,NA,Texas,2019-10-17,2019-12-26,Terminated
pha-101619-01,Product Contamination,NA,"Connecticut, Illinois, Maine, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont",2019-10-16,NA,Ongoing
097-2019,Product Contamination,"Kenosha Beef International, Ltd.",NA,2019-10-14,2020-04-02,Terminated
096-2019,Mislabeling,"YouBite, LLC",California,2019-10-11,2020-01-09,Terminated
094-2019,Product Contamination,"Tip Top Poultry, Inc.",NA,2019-09-28,2021-10-13,Terminated
095-2019,Product Contamination,NA,Indiana,2019-09-28,2020-06-15,Terminated
093-2019,"Misbranding, Unreported Allergens",Pegasus Foods Inc.,"Colorado, Delaware, Maine, Michigan, New York, North Carolina, Pennsylvania, Utah, Virginia, Washington",2019-09-20,2020-02-04,Terminated
092-2019,"Misbranding, Unreported Allergens",Perdue Foods LLC,"Florida, Georgia, North Carolina, Ohio, Pennsylvania",2019-09-17,2019-11-14,Terminated
091-2019,"Misbranding, Unreported Allergens",HY-VEE FRESH COMMISSARY,"Illinois, Iowa, Kansas, Minnesota, Missouri, Nebraska, South Dakota, Wisconsin",2019-09-10,2020-01-29,Terminated
090-2019,Import Violation,NA,"New York, Pennsylvania",2019-09-05,2019-09-23,Terminated
089-2019,Unfit for Human Consumption,"American Beef Packers, Inc.","California, Oregon",2019-08-31,2019-12-05,Terminated
088-2019,Misbranding,Heatherfield Foods Inc.,Hawaii,2019-08-30,2019-10-25,Terminated
