case_number,recall_reason,establishment,states,date
PHA-09162022-01,"Misbranding, Unreported Allergens","Tampa Bay Fisheries, Tampa Bay Fisheries","Alabama, Florida, Georgia, North Carolina, South Carolina, Tennessee, Virginia, Alabama, Florida, Georgia, North Carolina, South Carolina, Tennessee, Virginia","Fri, 09/16/2022 - Current, Fri, 09/16/2022 - Current"
PHA-09102022-01,Product Contamination,NA,Nationwide,"Sat, 09/10/2022 - Current"
031-2022,Product Contamination,"Sunset Farm Foods, Inc.","Alabama, Florida, Georgia, North Carolina","Wed, 09/07/2022 - Fri, 12/16/2022"
030-2022,"Product Contamination, Unfit for Human Consumption","Magnolia Provision Company Inc., Magnolia Provision Company Inc.","Nationwide, Nationwide","Tue, 09/06/2022 - Wed, 10/19/2022, Tue, 09/06/2022 - Wed, 10/19/2022"
029-2022,Produced Without Benefit of Inspection,NA,New York,"Wed, 08/31/2022 - Tue, 11/01/2022"
028-2022,Product Contamination,NA,NA,"Tue, 08/30/2022 - Mon, 10/03/2022"
027-2022,Produced Without Benefit of Inspection,NA,Maryland,"Thu, 08/25/2022 - Thu, 10/13/2022"
PHA-08242022-01,"Misbranding, Unreported Allergens","NA, NA","Illinois, Indiana, Wisconsin, Illinois, Indiana, Wisconsin","Wed, 08/24/2022 - Current, Wed, 08/24/2022 - Current"
PHA-08232022-01,Product Contamination,Perdue Foods LLC,NA,"Tue, 08/23/2022 - Current"
PHA-08182022-01,Product Contamination,"Hawaii Beef Producers, LLC",Hawaii,"Thu, 08/18/2022 - Current"
026-2022,Product Contamination,Home Run Inn Frozen Foods,Illinois,"Sun, 08/14/2022 - Thu, 10/27/2022"
024-2022,Product Contamination,Rachael's Food Corporation,"Connecticut, Massachusetts, Rhode Island, New York","Sat, 07/30/2022 - Mon, 10/03/2022"
025-2022,"Misbranding, Mislabeling, Unreported Allergens","ConAgra Brands, Inc., ConAgra Brands, Inc., ConAgra Brands, Inc.","Nationwide, Nationwide, Nationwide","Sat, 07/30/2022 - Mon, 12/12/2022, Sat, 07/30/2022 - Mon, 12/12/2022, Sat, 07/30/2022 - Mon, 12/12/2022"
023-2022,Produced Without Benefit of Inspection,NA,"Florida, Texas","Thu, 07/28/2022 - Wed, 11/09/2022"
022-2022,"Misbranding, Unreported Allergens","NA, NA","NA, NA","Wed, 07/20/2022 - Current, Wed, 07/20/2022 - Current"
021-2022,Unreported Allergens,NA,NA,"Fri, 07/15/2022 - Thu, 09/29/2022"
PHA-07122022-01,Unreported Allergens,"GH Foods NW, LLC",NA,"Tue, 07/12/2022 - Current"
PHA-07072022-01,Produced Without Benefit of Inspection,NA,New York,"Thu, 07/07/2022 - Current"
020-2022,Unreported Allergens,Creminelli Fine Meats,NA,"Tue, 06/28/2022 - Fri, 10/07/2022"
PHA-06242022,Import Violation,NA,"Georgia, Maryland, Massachusetts, Michigan, New Jersey, New York, Pennsylvania, Virginia, Nationwide","Fri, 06/24/2022 - Current"
019-2022,Import Violation,NA,NA,"Mon, 06/13/2022 - Tue, 10/04/2022"
018-2022,Product Contamination,"Northern Tier Bakery, LLC","Minnesota, Wisconsin","Thu, 06/09/2022 - Thu, 03/09/2023"
PHA-05272022,Product Contamination,A G Specialty Foods,NA,"Fri, 05/27/2022 - Current"
017-2022,Product Contamination,Smithfield Packaged Meats Corp.,Nationwide,"Fri, 05/20/2022 - Thu, 03/09/2023"
016-2022,"Mislabeling, Product Contamination","America New York Ri Wang Food Group Co., Ltd., America New York Ri Wang Food Group Co., Ltd.","Nationwide, Nationwide","Wed, 05/18/2022 - Wed, 08/17/2022, Wed, 05/18/2022 - Wed, 08/17/2022"
PHA-05182022-01,Processing Defect,Plumrose USA,"Illinois, Indiana, Ohio","Wed, 05/18/2022 - Current"
pha-05132022-01,Misbranding,NA,West Virginia,"Fri, 05/13/2022 - Current"
pha-051122-01,Product Contamination,NPC Processing Inc.,NA,"Wed, 05/11/2022 - Current"
012-2022-EXP,Processing Defect,Wayne Farms LLC,"North Carolina, South Carolina, Virginia","Sat, 05/07/2022 - Tue, 08/30/2022"
014-2022,"Misbranding, Unreported Allergens","Olympia Meats, Olympia Meats","Maine, Oregon, Washington, Maine, Oregon, Washington","Fri, 05/06/2022 - Wed, 06/22/2022, Fri, 05/06/2022 - Wed, 06/22/2022"
015-2022,Produced Without Benefit of Inspection,NA,"Alabama, Georgia, Mississippi, Tennessee","Fri, 05/06/2022 - Wed, 10/19/2022"
013-2022,"Misbranding, Unreported Allergens","Safeway Fresh Food, LLC, Safeway Fresh Food, LLC","Delaware, Maryland, New Jersey, New York, Pennsylvania, Virginia, Delaware, Maryland, New Jersey, New York, Pennsylvania, Virginia","Tue, 05/03/2022 - Fri, 06/03/2022, Tue, 05/03/2022 - Fri, 06/03/2022"
012-2022,Processing Defect,Wayne Farms LLC,NA,"Fri, 04/29/2022 - Tue, 08/30/2022"
PHA-04282022-01,Produced Without Benefit of Inspection,NA,NA,"Thu, 04/28/2022 - Current"
PHA-04272022-01,Product Contamination,NA,NA,"Wed, 04/27/2022 - Current"
011-2022,Product Contamination,NA,NA,"Mon, 04/25/2022 - Wed, 07/06/2022"
010-2022,Produced Without Benefit of Inspection,NA,"Alabama, Georgia, South Carolina, Tennessee, Virginia","Fri, 04/22/2022 - Thu, 08/25/2022"
009-2022,Produced Without Benefit of Inspection,NA,NA,"Sat, 04/16/2022 - Thu, 08/25/2022"
PHA-03252022-01,"Misbranding, Unreported Allergens","Taylor Farms New England Inc., Taylor Farms New England Inc.","Connecticut, Maine, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Connecticut, Maine, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont","Fri, 03/25/2022 - Current, Fri, 03/25/2022 - Current"
PHA-03232022-01,"Misbranding, Unreported Allergens","Charlie's Produce, Charlie's Produce","Alaska, Alaska","Wed, 03/23/2022 - Current, Wed, 03/23/2022 - Current"
PHA-03102022-01,Product Contamination,"R & G Fine Foods, Inc.","Arizona, California, Nevada, New Mexico, Utah","Thu, 03/10/2022 - Current"
008-2022,Product Contamination,Boyd Specialties LLC,Texas,"Fri, 03/04/2022 - Thu, 08/25/2022"
PHA-03012022-01,"Misbranding, Unreported Allergens","NA, NA","NA, NA","Tue, 03/01/2022 - Current, Tue, 03/01/2022 - Current"
007-2022,Misbranding,Frickenschmidt Foods LLC,NA,"Tue, 02/22/2022 - Wed, 06/22/2022"
006-2022,Import Violation,NA,"Illinois, Indiana, Michigan, Wisconsin","Fri, 02/18/2022 - Thu, 03/31/2022"
005-2022,"Misbranding, Unreported Allergens","Morgan Foods, Inc., Morgan Foods, Inc.","NA, NA","Wed, 02/16/2022 - Mon, 10/03/2022, Wed, 02/16/2022 - Mon, 10/03/2022"
004-2022,Misbranding,Great American Cobbler Company LLC,"Georgia, Wisconsin, Virginia","Fri, 02/11/2022 - Mon, 03/28/2022"
PHA-01282022-01,Product Contamination,NA,Georgia,"Fri, 01/28/2022 - Current"
003-2022,Misbranding,NA,NA,"Sat, 01/08/2022 - Thu, 08/25/2022"
002-2022,Misbranding,NA,NA,"Thu, 01/06/2022 - Thu, 10/27/2022"
001-2022,Product Contamination,NA,NA,"Thu, 01/06/2022 - Wed, 02/02/2022"
PHA-12292021-01,Import Violation,NA,NA,"Wed, 12/29/2021 - Current"
PHA-12182021-01,Product Contamination,Swiss Processing Plant Inc.,Missouri,"Sat, 12/18/2021 - Current"
pha-12182021-02,"Misbranding, Unreported Allergens","Fortune Avenue Foods, Inc., Fortune Avenue Foods, Inc.","NA, NA","Sat, 12/18/2021 - Current, Sat, 12/18/2021 - Current"
047-2021,Product Contamination,NA,NA,"Tue, 12/14/2021 - Thu, 02/10/2022"
046-2021,Product Contamination,NA,NA,"Sun, 12/05/2021 - Thu, 03/31/2022"
045-2021,Import Violation,NA,NA,"Fri, 12/03/2021 - Thu, 03/10/2022"
044-2021,Product Contamination,Shamrock Foods Company,California,"Mon, 11/15/2021 - Mon, 12/20/2021"
042-2021,Product Contamination,Euro Foods Inc.,NA,"Wed, 11/10/2021 - Thu, 01/06/2022"
043-2021,Product Contamination,"Innovative Solutions, Inc",NA,"Wed, 11/10/2021 - Fri, 01/28/2022"
PHA-10292021,Product Contamination,NA,NA,"Fri, 10/29/2021 - Current"
041-2021,Import Violation,NA,Pennsylvania,"Thu, 10/21/2021 - Fri, 02/25/2022"
040-2021,Misbranding,Demaiz Inc. dba: Mextamale Foods,California,"Wed, 10/20/2021 - Thu, 11/18/2021"
039-2021,Import Violation,Evans Food Group,"Arizona, California, Nevada, New Mexico, Utah, Washington","Thu, 10/14/2021 - Wed, 01/05/2022"
038-2021,Product Contamination,"Butterball, LLC",Nationwide,"Wed, 10/13/2021 - Thu, 11/18/2021"
36-2021,Product Contamination,"I-65 BBQ, Inc.",North Carolina,"Fri, 10/08/2021 - Fri, 10/22/2021"
037-2021,Product Contamination,"Crider, Inc.",NA,"Fri, 10/08/2021 - Wed, 02/02/2022"
035-2021,Product Contamination,Espi's Sausage and Tocino Co.,California,"Tue, 09/28/2021 - Tue, 09/21/2021"
034-2021,"Misbranding, Unreported Allergens","NA, NA","NA, NA","Sun, 09/26/2021 - Fri, 01/07/2022, Sun, 09/26/2021 - Fri, 01/07/2022"
033-2021,Product Contamination,NA,NA,"Sat, 09/25/2021 - Mon, 12/20/2021"
032-2021,"Misbranding, Unreported Allergens","NA, NA","NA, NA","Thu, 09/23/2021 - Thu, 12/09/2021, Thu, 09/23/2021 - Thu, 12/09/2021"
031-2021,Produced Without Benefit of Inspection,NA,"Illinois, Indiana, Minnesota, Ohio, Wisconsin","Mon, 09/13/2021 - Thu, 03/10/2022"
PHA-09102021,Misbranding,NA,"Texas, North Carolina, Tennessee","Fri, 09/10/2021 - Current"
030-2021,Product Contamination,"Fratelli Beretta USA, Inc.",NA,"Fri, 08/27/2021 - Thu, 11/18/2021"
029-2021,Product Contamination,"WILLOW TREE POULTRY FARM, INC.","Connecticut, Massachusetts, Maine, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont","Tue, 08/24/2021 - Tue, 01/04/2022"
028-2021,Product Contamination,"Serenade Foods, Division of Maple Leaf Farms, Inc.",NA,"Tue, 08/10/2021 - Thu, 11/18/2021"
027-2021,Product Contamination,Blount Fine Foods Corp.,Texas,"Thu, 08/05/2021 - Tue, 09/28/2021"
026-2021,Product Contamination,"Greater Omaha Packing Co., Inc.","Illinois, Indiana, Minnesota, Nebraska","Thu, 07/29/2021 - Tue, 05/10/2022"
025-2021,"Misbranding, Unreported Allergens","NA, NA","Minnesota, Tennessee, Minnesota, Tennessee","Sat, 07/24/2021 - Tue, 08/17/2021, Sat, 07/24/2021 - Tue, 08/17/2021"
024-2021,Misbranding,"Green Dining Table, Inc.",NA,"Fri, 07/16/2021 - Tue, 01/11/2022"
023-2021,Product Contamination,NA,Nationwide,"Sat, 07/03/2021 - Mon, 10/03/2022"
PHA-06022021,Product Contamination,NA,NA,"Wed, 06/02/2021 - Current"
022-2021,"Misbranding, Unreported Allergens","King's Command Foods, LLC, King's Command Foods, LLC","California, Idaho, Illinois, Minnesota, Missouri, North Carolina, Oregon, Texas, Virginia, Washington, California, Idaho, Illinois, Minnesota, Missouri, North Carolina, Oregon, Texas, Virginia, Washington","Fri, 05/28/2021 - Mon, 07/26/2021, Fri, 05/28/2021 - Mon, 07/26/2021"
021-2021,"Misbranding, Unreported Allergens","Legacy Food Company Inc,, Legacy Food Company Inc,","California, California","Wed, 05/26/2021 - Wed, 09/29/2021, Wed, 05/26/2021 - Wed, 09/29/2021"
PHA-05242021,Product Contamination,NA,Florida,"Tue, 05/25/2021 - Current"
020-2021,Produced Without Benefit of Inspection,NA,"Illinois, Indiana","Sat, 05/22/2021 - Thu, 03/17/2022"
019-2021,Produced Without Benefit of Inspection,"Milan Provision Co., Inc.",New York,"Fri, 05/21/2021 - Wed, 06/30/2021"
018-2021,"Misbranding, Unreported Allergens","Kraft Heinz Foods Company, Kraft Heinz Foods Company","NA, NA","Mon, 05/17/2021 - Wed, 01/26/2022, Mon, 05/17/2021 - Wed, 01/26/2022"
PHA-05142021-01,Import Violation,NA,NA,"Fri, 05/14/2021 - Current"
017-2021,Misbranding,"Bellisio Foods, Inc.",NA,"Tue, 05/04/2021 - Mon, 06/14/2021"
016-2021,Misbranding,Hempstead Foodservice Inc.,New York,"Sat, 05/01/2021 - Thu, 06/24/2021"
015-2021,Product Contamination,Ajinomoto Health & Nutrition North America,NA,"Sat, 04/24/2021 - Tue, 06/08/2021"
014-2021,Import Violation,NA,NA,"Fri, 04/23/2021 - Fri, 07/02/2021"
013-2021,Product Contamination,NA,"New York, Pennsylvania","Fri, 04/16/2021 - Tue, 06/08/2021"
012-2021,Product Contamination,NA,California,"Thu, 04/15/2021 - Thu, 05/13/2021"
PHA-04102021,Product Contamination,"Plainville Brands, LLC",NA,"Sat, 04/10/2021 - Current"
pha-04022021-01,Product Contamination,NA,NA,"Fri, 04/02/2021 - Current"
011-2021,Import Violation,NA,NA,"Thu, 04/01/2021 - Wed, 06/16/2021"
010-2021,Import Violation,NA,"California, Nevada, Oklahoma","Wed, 03/24/2021 - Thu, 04/22/2021"
009-2021,Produced Without Benefit of Inspection,NA,NA,"Sat, 03/20/2021 - Fri, 01/28/2022"
pha-03192021-01,Produced Without Benefit of Inspection,NA,NA,"Fri, 03/19/2021 - Current"
pha-03122021-01,Misbranding,"The Vons Companies, Inc.","Alaska, Arizona, California, Hawaii, Idaho, Montana, Nevada, New Mexico, Oregon, Utah, Washington, Wyoming","Fri, 03/12/2021 - Current"
008-2021,Import Violation,NA,NA,"Mon, 03/01/2021 - Tue, 09/21/2021"
007-2021,Product Contamination,J&J Distributing,"Minnesota, Wisconsin","Fri, 02/26/2021 - Thu, 11/18/2021"
PHA-02252021-01,"Misbranding, Unreported Allergens","NA, NA","Illinois, Indiana, Iowa, Kentucky, Michigan, Minnesota, Missouri, Ohio, Wisconsin, Illinois, Indiana, Iowa, Kentucky, Michigan, Minnesota, Missouri, Ohio, Wisconsin","Thu, 02/25/2021 - Current, Thu, 02/25/2021 - Current"
006-2021,Produced Without Benefit of Inspection,NA,"Arizona, California, Hawaii, Nevada, New York, Texas","Mon, 02/22/2021 - Fri, 04/02/2021"
005-2021,Produced Without Benefit of Inspection,NA,NA,"Fri, 02/19/2021 - Wed, 09/08/2021"
004-2021,Produced Without Benefit of Inspection,Food Evolution,Illinois,"Fri, 02/05/2021 - Mon, 04/19/2021"
PHA-02022021-01,Product Contamination,NA,Illinois,"Tue, 02/02/2021 - Current"
003-2021,Product Contamination,"BEF Foods, Inc.","Indiana, Michigan, Ohio, Pennsylvania, Wisconsin","Thu, 01/21/2021 - Tue, 05/04/2021"
PHA-01152021-01,"Misbranding, Unreported Allergens","NA, NA","California, California","Fri, 01/15/2021 - Current, Fri, 01/15/2021 - Current"
002-2021,Product Contamination,NA,NA,"Fri, 01/15/2021 - Mon, 03/22/2021"
PHA-01072021-01,"Misbranding, Unreported Allergens","NA, NA","Illinois, Kansas, Minnesota, Missouri, Nebraska, South Dakota, Wisconsin, Illinois, Kansas, Minnesota, Missouri, Nebraska, South Dakota, Wisconsin","Thu, 01/07/2021 - Current, Thu, 01/07/2021 - Current"
001-2021,Misbranding,NA,"California, Colorado, Indiana, Maryland, Maine, New York, Oregon","Sat, 01/02/2020 - Tue, 03/02/2021"
PHA-12312020-01,"Misbranding, Unreported Allergens","NA, NA","Illinois, Indiana, Kentucky, Michigan, Minnesota, Missouri, Ohio, Pennsylvania, Wisconsin, Illinois, Indiana, Kentucky, Michigan, Minnesota, Missouri, Ohio, Pennsylvania, Wisconsin","Thu, 12/31/2020 - Current, Thu, 12/31/2020 - Current"
031-2020,Produced Without Benefit of Inspection,NA,NA,"Wed, 12/23/2020 - Tue, 06/29/2021"
029-2020,Produced Without Benefit of Inspection,NA,NA,"Sat, 12/19/2020 - Tue, 04/06/2021"
PHA-12192020-01,"Mislabeling, Produced Without Benefit of Inspection","NA, NA","California, Oregon, Washington, California, Oregon, Washington","Sat, 12/19/2020 - Current, Sat, 12/19/2020 - Current"
030-2020,"Product Contamination, Unfit for Human Consumption","NA, NA","NA, NA","Sat, 12/19/2020 - Mon, 07/26/2021, Sat, 12/19/2020 - Mon, 07/26/2021"
PHA-12172020-01,"Misbranding, Unreported Allergens","Country Meats, LLC, Country Meats, LLC","NA, NA","Thu, 12/17/2020 - Current, Thu, 12/17/2020 - Current"
PHA-12082020-01,Produced Without Benefit of Inspection,Texas Livestock & Halal Meat Processors,Texas,"Tue, 12/08/2020 - Current"
028-2020,Mislabeling,NA,New York,"Fri, 12/04/2020 - Wed, 12/30/2020"
027-2020,Unfit for Human Consumption,Tarantino Wholesale Foods Distributor,California,"Thu, 11/26/2020 - Wed, 02/03/2021"
PHA-11212020-01,"Misbranding, Unreported Allergens","NA, NA","California, New York, Texas, California, New York, Texas","Sat, 11/21/2020 - Current, Sat, 11/21/2020 - Current"
PHA-11152020-01,"Product Contamination, Unfit for Human Consumption","Tucson Tamale Wholesale Company LLC, Tucson Tamale Wholesale Company LLC","Nationwide, Nationwide","Sun, 11/15/2020 - Current, Sun, 11/15/2020 - Current"
PHA-11122020-01,Produced Without Benefit of Inspection,Wegmans Food Markets,"Massachusetts, New York, Pennsylvania","Thu, 11/12/2020 - Current"
026-2020,"Misbranding, Unreported Allergens","Stuffed Foods LLC, Stuffed Foods LLC","NA, NA","Wed, 11/11/2020 - Tue, 03/02/2021, Wed, 11/11/2020 - Tue, 03/02/2021"
PHA-11042020-01,"Product Contamination, Unfit for Human Consumption","Kwik Trip, Inc., Kwik Trip, Inc.","Iowa, Minnesota, Wisconsin, Iowa, Minnesota, Wisconsin","Wed, 11/04/2020 - Current, Wed, 11/04/2020 - Current"
025-2020,Produced Without Benefit of Inspection,"Taher, Inc.",Minnesota,"Sat, 10/17/2020 - Thu, 09/02/2021"
PHA-10092020-01,"Product Contamination, Unfit for Human Consumption","Taylor Farms TX, Inc., Taylor Farms TX, Inc.","Texas, Texas","Fri, 10/09/2020 - Current, Fri, 10/09/2020 - Current"
024-2020,"Misbranding, Unreported Allergens","WILLOW TREE POULTRY FARM, INC., WILLOW TREE POULTRY FARM, INC.","Connecticut, District of Columbia, Maine, Maryland, Massachusetts, New Hampshire, Rhode Island, Vermont, Virginia, Connecticut, District of Columbia, Maine, Maryland, Massachusetts, New Hampshire, Rhode Island, Vermont, Virginia","Wed, 09/16/2020 - Mon, 10/26/2020, Wed, 09/16/2020 - Mon, 10/26/2020"
023-2020,"Misbranding, Unreported Allergens","Cher-Make Sausage Company, Cher-Make Sausage Company","Illinois, Minnesota, Nebraska, North Carolina, South Dakota, Wisconsin, Illinois, Minnesota, Nebraska, North Carolina, South Dakota, Wisconsin","Fri, 09/11/2020 - Tue, 01/11/2022, Fri, 09/11/2020 - Tue, 01/11/2022"
PHA-09042020-01,Unfit for Human Consumption,NA,NA,"Fri, 09/04/2020 - Current"
022-2020,"Misbranding, Unreported Allergens","Ukrop's Homestyle Foods, Ukrop's Homestyle Foods","North Carolina, Ohio, Virginia, West Virginia, North Carolina, Ohio, Virginia, West Virginia","Mon, 08/31/2020 - Fri, 12/03/2021, Mon, 08/31/2020 - Fri, 12/03/2021"
021-2020,"Misbranding, Unreported Allergens","Oberto Snacks Inc., Oberto Snacks Inc.","NA, NA","Sat, 08/22/2020 - Mon, 01/11/2021, Sat, 08/22/2020 - Mon, 01/11/2021"
020-2020,"Misbranding, Unreported Allergens","Faribault Foods, Inc., Faribault Foods, Inc.","NA, NA","Tue, 08/18/2020 - Mon, 02/07/2022, Tue, 08/18/2020 - Mon, 02/07/2022"
019-2020,"Misbranding, Unreported Allergens","Mr Wok Foods Inc. dba Maxfield Foods, Mr Wok Foods Inc. dba Maxfield Foods","NA, NA","Mon, 08/10/2020 - Fri, 10/16/2020, Mon, 08/10/2020 - Fri, 10/16/2020"
PHA-08072020-01,Product Contamination,Blue Grass Provisions Co. Inc.,"Kentucky, Ohio, North Carolina, Virginia","Fri, 08/07/2020 - Current"
PHA-08052020-01,Product Contamination,"Taylor Farms TX, Inc.","Arkansas, Louisiana, Mississippi, Oklahoma, Texas","Wed, 08/05/2020 - Current"
PHA-08012020,"Product Contamination, Unfit for Human Consumption","Ajinomoto Foods North America, Ajinomoto Foods North America","NA, NA","Sat, 08/01/2020 - Current, Sat, 08/01/2020 - Current"
018-2020,Produced Without Benefit of Inspection,Balter Meat Co.,"Florida, Georgia, North Carolina, South Carolina","Thu, 07/30/2020 - Tue, 09/15/2020"
017-2020,Produced Without Benefit of Inspection,NA,Florida,"Tue, 07/28/2020 - Thu, 10/01/2020"
016-2020,Produced Without Benefit of Inspection,NA,Tennessee,"Fri, 07/24/2020 - Tue, 01/11/2022"
015-2020,Produced Without Benefit of Inspection,Tempura Foods & Spices LLC,"New Jersey, New York, Pennsylvania, Texas, Virginia","Fri, 07/17/2020 - Tue, 12/15/2020"
PHA-07082020-01,Unreported Allergens,BrucePac - Durant,NA,"Wed, 07/08/2020 - Current"
014-2020,Product Contamination,Pilgrim's Pride Corporation,"Arizona, Idaho, Oregon, Texas","Sun, 06/28/2020 - Thu, 08/13/2020"
013-2020,Produced Without Benefit of Inspection,NA,"Arkansas, Missouri, Texas","Wed, 06/17/2020 - Thu, 06/25/2020"
012-2020,Product Contamination,Lakeside Refrigerated Services,NA,"Sat, 06/13/2020 - Tue, 09/21/2021"
011-2020,"Misbranding, Unreported Allergens","Nestle Prepared Foods Company, Nestle Prepared Foods Company","NA, NA","Thu, 05/28/2020 - Wed, 11/09/2022, Thu, 05/28/2020 - Wed, 11/09/2022"
